export_id,page,page_id,clicks,impressions,ctr,position,scope,level,completeness,truncated,window_start,window_end,reporting_country,search_type,filter_type,filter_value,source_file
gsc-16m-all,https://www.orangejelly.co.uk/about,pg_0014,0,32,0,61.56,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/licensees-guide/pub-insurance-cover-guide,,0,31,0,63.23,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/pub-business-plan-template-guide,,0,30,0,14,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/how-to-attract-families-to-your-pub,,0,26,0,2.85,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/partnering-local-brands-share-marketing,,0,24,0,2.75,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/category/events,,0,22,0,32,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/licensees-guide/live-music-events-for-pubs,,0,22,0,13.55,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/content-marketing-ideas-pubs,pg_0032,0,21,0,12,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/how-much-profit-does-a-pub-make,,0,21,0,8.24,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/pub-licensing-premises-personal-licence-guide,,0,21,0,33.38,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/summer-pub-marketing,,0,20,0,43.55,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
