Date,Clicks,Impressions,CTR,Position
2026-03-26,1,94,1.06%,10.4
2026-03-27,0,96,0%,14.3
2026-03-28,2,92,2.17%,16.6
2026-03-29,0,84,0%,13.1
2026-03-30,3,114,2.63%,15.8
2026-03-31,3,125,2.4%,11.8
2026-04-01,1,122,0.82%,10.1
2026-04-02,2,104,1.92%,14.4
2026-04-03,3,187,1.6%,11.6
2026-04-04,2,94,2.13%,13.7
2026-04-05,1,146,0.68%,14.7
2026-04-06,1,174,0.57%,13.2
2026-04-07,2,217,0.92%,14.7
2026-04-08,2,174,1.15%,12.4
2026-04-09,2,181,1.1%,10.7
2026-04-10,4,178,2.25%,12.7
2026-04-11,2,139,1.44%,15
2026-04-12,1,149,0.67%,13
2026-04-13,1,142,0.7%,14.3
2026-04-14,3,119,2.52%,13.7
2026-04-15,3,185,1.62%,13.9
2026-04-16,2,144,1.39%,12.5
2026-04-17,2,121,1.65%,14.4
2026-04-18,3,99,3.03%,15.6
2026-04-19,0,124,0%,13.2
2026-04-20,0,131,0%,15.9
2026-04-21,4,140,2.86%,15.3
2026-04-22,0,153,0%,16.7
2026-04-23,1,110,0.91%,17.1
2026-04-24,0,114,0%,14.7
2026-04-25,0,98,0%,16.1
2026-04-26,5,117,4.27%,14
2026-04-27,3,128,2.34%,14.1
2026-04-28,1,117,0.85%,12
2026-04-29,2,138,1.45%,14.2
2026-04-30,3,104,2.88%,12.2
2026-05-01,6,114,5.26%,13
2026-05-02,1,88,1.14%,13.6
2026-05-03,0,110,0%,12.2
2026-05-04,1,114,0.88%,12.3
2026-05-05,2,175,1.14%,15.2
2026-05-06,0,129,0%,14.4
2026-05-07,3,138,2.17%,13.5
2026-05-08,1,146,0.68%,14.3
2026-05-09,0,108,0%,13.3
2026-05-10,2,123,1.63%,16
2026-05-11,1,146,0.68%,14.6
2026-05-12,1,137,0.73%,12.4
2026-05-13,4,148,2.7%,13
2026-05-14,1,131,0.76%,12.6
2026-05-15,1,111,0.9%,11.9
2026-05-16,1,116,0.86%,11.4
2026-05-17,4,178,2.25%,15.1
2026-05-18,1,202,0.5%,13.3
2026-05-19,5,296,1.69%,9.7
2026-05-20,7,177,3.95%,13.9
2026-05-21,3,139,2.16%,13.7
2026-05-22,1,126,0.79%,12.5
2026-05-23,2,119,1.68%,13.6
2026-05-24,3,118,2.54%,14.1
2026-05-25,1,119,0.84%,16.2
2026-05-26,7,199,3.52%,14.4
2026-05-27,4,162,2.47%,11.6
2026-05-28,2,164,1.22%,12.6
2026-05-29,2,150,1.33%,11.8
2026-05-30,1,142,0.7%,12.1
2026-05-31,4,155,2.58%,10.7
2026-06-01,6,204,2.94%,11.1
2026-06-02,0,180,0%,10.3
2026-06-03,7,220,3.18%,11.4
2026-06-04,0,177,0%,10.2
2026-06-05,3,179,1.68%,10.6
2026-06-06,4,180,2.22%,13.7
2026-06-07,1,168,0.6%,12.8
2026-06-08,6,242,2.48%,12
2026-06-09,5,239,2.09%,10.4
2026-06-10,5,225,2.22%,9.5
2026-06-11,5,218,2.29%,11.3
2026-06-12,2,172,1.16%,12.6
2026-06-13,7,189,3.7%,11.2
2026-06-14,3,171,1.75%,12.3
2026-06-15,3,187,1.6%,12
2026-06-16,6,219,2.74%,11.3
2026-06-17,0,199,0%,14
2026-06-18,5,296,1.69%,16.6
2026-06-19,1,291,0.34%,13.5
2026-06-20,2,224,0.89%,14.6
2026-06-21,1,175,0.57%,15.5
2026-06-22,3,233,1.29%,16.8
2026-06-23,4,174,2.3%,11.9
2026-06-24,5,221,2.26%,11.2
2026-06-25,2,207,0.97%,12.1
2026-06-26,1,242,0.41%,12.1
2026-06-27,1,157,0.64%,13.6
2026-06-28,2,190,1.05%,11.7
2026-06-29,6,225,2.67%,11.8
2026-06-30,3,269,1.12%,10.9
2026-07-01,6,232,2.59%,11.2
2026-07-02,3,243,1.23%,11.9
2026-07-03,4,191,2.09%,12.1
2026-07-04,6,237,2.53%,13.5
2026-07-05,3,187,1.6%,13.2
2026-07-06,7,296,2.36%,16.1
2026-07-07,7,271,2.58%,12.1
2026-07-08,10,270,3.7%,12.3
2026-07-09,4,275,1.45%,11.8
2026-07-10,5,225,2.22%,13.4
2026-07-11,5,183,2.73%,14.7
2026-07-12,2,204,0.98%,13.2
2026-07-13,3,289,1.04%,12.2
2026-07-14,8,267,3%,10.2
2026-07-15,5,254,1.97%,13
2026-07-16,5,284,1.76%,10
2026-07-17,4,277,1.44%,11
2026-07-18,6,242,2.48%,11.8
2026-07-19,2,203,0.99%,10.1
2026-07-20,9,403,2.23%,14.9
2026-07-21,2,378,0.53%,12.7
2026-07-22,6,373,1.61%,10.9
2026-07-23,8,414,1.93%,10.8
2026-07-24,6,342,1.75%,14.2
2026-07-25,9,218,4.13%,12.5
2026-07-26,5,226,2.21%,10.3
2026-07-27,6,345,1.74%,11.5
2026-07-28,3,381,0.79%,10
2026-07-29,4,329,1.22%,9.6
2026-07-30,6,348,1.72%,10.1
2026-07-31,13,293,4.44%,10.9
2026-08-01,3,331,0.91%,11.4
2026-08-02,6,283,2.12%,10.3
2026-08-03,6,394,1.52%,11.4
2026-08-04,6,389,1.54%,9
2026-08-05,8,427,1.87%,9.5
2026-08-06,6,355,1.69%,10.3
2026-08-07,10,334,2.99%,9.7
2026-08-08,3,267,1.12%,11.8
2026-08-09,3,314,0.96%,10.1
2026-08-10,10,464,2.16%,10.2
2026-08-11,6,440,1.36%,9.9
2026-08-12,5,439,1.14%,10.9
2026-08-13,2,431,0.46%,10.5
2026-08-14,5,385,1.3%,9.8
2026-08-15,3,338,0.89%,12.6
2026-08-16,5,354,1.41%,10.6
2026-08-17,7,508,1.38%,13.4
2026-08-18,12,496,2.42%,9.2
2026-08-19,11,510,2.16%,11.5
2026-08-20,7,497,1.41%,9.8
2026-08-21,8,463,1.73%,10.3
2026-08-22,4,327,1.22%,11.5
2026-08-23,7,375,1.87%,9.8
2026-08-24,7,569,1.23%,9.3
2026-08-25,3,555,0.54%,10.1
2026-08-26,2,593,0.34%,9.6
2026-08-27,4,529,0.76%,8.7
2026-08-28,4,504,0.79%,9.1
2026-08-29,3,449,0.67%,10.2
2026-08-30,6,460,1.3%,10.4
2026-08-31,11,539,2.04%,11.4
2026-09-01,11,809,1.36%,8.4
2026-09-02,23,1302,1.77%,9.8
2026-09-03,16,1095,1.46%,12.8
2026-09-04,12,849,1.41%,11.4
2026-09-05,9,613,1.47%,12.4
2026-09-06,10,639,1.56%,11.2
